"kategorie","poi_id","name","laengengrad","breitengrad","adresse","plz","ort","access","fee","wheelchair","opening_hours","operator","beschreibung","solar_anzahl_werte","solar_durchschnitt_april_bis_september_w_m2","solar_median_april_bis_september_w_m2","solar_minimum_w_m2","solar_minimum_zeitpunkt","solar_maximum_w_m2","solar_maximum_zeitpunkt","link_komplexe_karte_popup","solar_0401_08_w_m2","solar_0401_09_w_m2","solar_0401_10_w_m2","solar_0401_11_w_m2","solar_0401_12_w_m2","solar_0401_13_w_m2","solar_0401_14_w_m2","solar_0401_15_w_m2","solar_0401_16_w_m2","solar_0401_17_w_m2","solar_0401_18_w_m2","solar_0401_19_w_m2","solar_0401_20_w_m2","solar_0415_08_w_m2","solar_0415_09_w_m2","solar_0415_10_w_m2","solar_0415_11_w_m2","solar_0415_12_w_m2","solar_0415_13_w_m2","solar_0415_14_w_m2","solar_0415_15_w_m2","solar_0415_16_w_m2","solar_0415_17_w_m2","solar_0415_18_w_m2","solar_0415_19_w_m2","solar_0415_20_w_m2","solar_0501_08_w_m2","solar_0501_09_w_m2","solar_0501_10_w_m2","solar_0501_11_w_m2","solar_0501_12_w_m2","solar_0501_13_w_m2","solar_0501_14_w_m2","solar_0501_15_w_m2","solar_0501_16_w_m2","solar_0501_17_w_m2","solar_0501_18_w_m2","solar_0501_19_w_m2","solar_0501_20_w_m2","solar_0515_08_w_m2","solar_0515_09_w_m2","solar_0515_10_w_m2","solar_0515_11_w_m2","solar_0515_12_w_m2","solar_0515_13_w_m2","solar_0515_14_w_m2","solar_0515_15_w_m2","solar_0515_16_w_m2","solar_0515_17_w_m2","solar_0515_18_w_m2","solar_0515_19_w_m2","solar_0515_20_w_m2","solar_0601_08_w_m2","solar_0601_09_w_m2","solar_0601_10_w_m2","solar_0601_11_w_m2","solar_0601_12_w_m2","solar_0601_13_w_m2","solar_0601_14_w_m2","solar_0601_15_w_m2","solar_0601_16_w_m2","solar_0601_17_w_m2","solar_0601_18_w_m2","solar_0601_19_w_m2","solar_0601_20_w_m2","solar_0615_08_w_m2","solar_0615_09_w_m2","solar_0615_10_w_m2","solar_0615_11_w_m2","solar_0615_12_w_m2","solar_0615_13_w_m2","solar_0615_14_w_m2","solar_0615_15_w_m2","solar_0615_16_w_m2","solar_0615_17_w_m2","solar_0615_18_w_m2","solar_0615_19_w_m2","solar_0615_20_w_m2","solar_0701_08_w_m2","solar_0701_09_w_m2","solar_0701_10_w_m2","solar_0701_11_w_m2","solar_0701_12_w_m2","solar_0701_13_w_m2","solar_0701_14_w_m2","solar_0701_15_w_m2","solar_0701_16_w_m2","solar_0701_17_w_m2","solar_0701_18_w_m2","solar_0701_19_w_m2","solar_0701_20_w_m2","solar_0715_08_w_m2","solar_0715_09_w_m2","solar_0715_10_w_m2","solar_0715_11_w_m2","solar_0715_12_w_m2","solar_0715_13_w_m2","solar_0715_14_w_m2","solar_0715_15_w_m2","solar_0715_16_w_m2","solar_0715_17_w_m2","solar_0715_18_w_m2","solar_0715_19_w_m2","solar_0715_20_w_m2","solar_0801_08_w_m2","solar_0801_09_w_m2","solar_0801_10_w_m2","solar_0801_11_w_m2","solar_0801_12_w_m2","solar_0801_13_w_m2","solar_0801_14_w_m2","solar_0801_15_w_m2","solar_0801_16_w_m2","solar_0801_17_w_m2","solar_0801_18_w_m2","solar_0801_19_w_m2","solar_0801_20_w_m2","solar_0815_08_w_m2","solar_0815_09_w_m2","solar_0815_10_w_m2","solar_0815_11_w_m2","solar_0815_12_w_m2","solar_0815_13_w_m2","solar_0815_14_w_m2","solar_0815_15_w_m2","solar_0815_16_w_m2","solar_0815_17_w_m2","solar_0815_18_w_m2","solar_0815_19_w_m2","solar_0815_20_w_m2","solar_0901_08_w_m2","solar_0901_09_w_m2","solar_0901_10_w_m2","solar_0901_11_w_m2","solar_0901_12_w_m2","solar_0901_13_w_m2","solar_0901_14_w_m2","solar_0901_15_w_m2","solar_0901_16_w_m2","solar_0901_17_w_m2","solar_0901_18_w_m2","solar_0901_19_w_m2","solar_0901_20_w_m2","solar_0915_08_w_m2","solar_0915_09_w_m2","solar_0915_10_w_m2","solar_0915_11_w_m2","solar_0915_12_w_m2","solar_0915_13_w_m2","solar_0915_14_w_m2","solar_0915_15_w_m2","solar_0915_16_w_m2","solar_0915_17_w_m2","solar_0915_18_w_m2","solar_0915_19_w_m2","solar_0915_20_w_m2"
"Sitzbank","bench-0","","8.784551","49.388477","","","","","","","","","","156","93.433","66.961","0","01.04. 19:00","632.22","15.06. 17:00","https://kfg-gis-2026.github.io/web-map/?lng=8.784551&lat=49.388477&z=16.50&ansicht=komplex&lang=de&poi=bench-0&skipIntro=1","49.971","60.331","66.421","69.423","70.301","69.423","66.421","60.331","49.971","34.45","13.659","0","0","54.88","63.755","68.762","71.109","71.768","71.109","68.762","63.755","54.88","41.195","22.499","0","0","58.844","66.282","70.273","72.02","72.481","72.02","70.273","66.282","58.844","539.943","30.464","9.983","0","61.081","67.557","70.89","72.257","72.596","72.257","70.89","67.557","61.081","586.784","35.504","16.74","0","62.583","68.297","71.123","72.206","72.453","72.206","71.123","68.297","569.768","620.72","39.309","21.997","0","63.033","68.456","71.092","72.071","72.285","72.071","71.092","68.456","578.702","632.22","40.668","23.94","5.19","62.815","68.269","70.927","71.919","72.138","71.919","70.927","68.269","575.967","628.979","40.366","23.589","0","61.987","67.784","70.669","71.789","72.048","71.789","70.669","67.784","562.378","611.901","38.494","21.057","0","60.046","66.657","70.092","71.523","71.882","71.523","70.092","66.657","60.046","571.655","34.132","15.188","0","57.484","65.084","69.203","71.032","71.521","71.032","69.203","65.084","57.484","520.408","28.729","8.064","0","52.902","62.045","67.265","69.749","70.455","69.749","67.265","62.045","52.902","38.917","19.915","0","0","47.734","58.353","64.659","67.804","68.732","67.804","64.659","58.353","47.734","31.944","10.9","0","0"
"Sitzbank","bench-1","","8.776252","49.378243","","","","","","","","","","156","110.101","88.742","0","01.04. 19:00","512.283","15.06. 15:00","https://kfg-gis-2026.github.io/web-map/?lng=8.776252&lat=49.378243&z=16.50&ansicht=komplex&lang=de&poi=bench-1&skipIntro=1","69.067","83.385","91.802","95.95","97.163","95.95","155.774","83.385","69.067","47.615","18.875","0","0","75.85","88.116","95.036","98.278","99.188","98.278","230.09","329.317","75.85","56.934","31.09","0","0","81.327","91.606","97.122","99.535","100.172","99.535","305.454","404.306","81.327","64.949","42.097","13.784","0","84.417","93.367","97.973","99.862","100.329","99.862","358.041","455.772","84.417","69.79","49.061","23.122","0","86.492","94.39","98.294","99.791","100.132","99.791","400.833","497.026","86.492","73.287","54.32","30.387","0","87.113","94.609","98.252","99.604","197.168","99.604","416.922","512.283","87.113","74.464","56.197","33.073","7.152","86.812","94.35","98.024","99.394","193.882","99.394","413.468","508.731","86.812","74.109","55.779","32.588","0","85.668","93.68","97.668","99.214","99.572","99.214","391.722","487.609","85.668","72.322","53.193","29.089","0","82.987","92.124","96.87","98.847","99.344","98.847","343.499","440.567","82.987","68.138","47.165","20.977","0","79.447","89.951","95.643","98.17","98.846","98.17","288.199","89.951","79.447","62.815","39.7","11.133","0","73.116","85.753","92.967","96.399","97.374","96.399","206.928","304.644","73.116","53.786","27.52","0","0","65.977","80.653","89.367","93.713","94.996","93.713","133.629","80.653","65.977","44.151","15.063","0","0"
"Sitzbank","bench-2","","8.772996","49.375969","","","","","","","","","","156","304.83","118.314","0","01.04. 19:00","803.253","15.06. 15:00","https://kfg-gis-2026.github.io/web-map/?lng=8.772996&lat=49.375969&z=16.50&ansicht=komplex&lang=de&poi=bench-2&skipIntro=1","84.563","102.094","112.398","117.477","118.962","117.477","530.606","562.1","521.771","58.298","23.109","0","0","92.867","107.885","116.357","254.48","121.441","517.716","604.766","640.567","608.705","69.706","38.063","0","0","99.572","112.157","118.911","324.349","464.415","585.74","673.296","712.237","687.919","79.519","51.54","16.873","0","103.356","114.314","119.952","372.648","510.689","630.293","717.274","757.693","738.096","85.446","60.066","28.306","0","105.895","115.565","120.346","411.669","547.167","664.595","750.476","791.641","775.599","691.127","66.504","37.201","0","106.656","115.834","120.294","426.235","560.421","676.721","761.951","803.253","788.521","707.066","68.803","40.489","8.751","106.287","115.517","120.014","422.993","557.061","673.259","758.387","799.573","784.68","702.965","68.291","39.895","0","104.886","114.696","119.578","403.096","538.221","655.323","740.892","781.719","765.236","680.073","65.124","35.611","0","101.604","112.791","118.602","358.89","496.091","614.96","701.272","741.033","720.673","83.424","447.966","25.679","0","97.27","110.131","117.101","307.909","446.615","566.754","653.268","691.259","665.951","76.906","48.604","13.627","0","89.52","104.992","113.824","118.026","119.22","491.645","577.086","611.353","577.769","65.852","33.692","0","0","80.78","98.749","109.418","114.738","116.308","114.738","501.843","531.508","489.295","54.057","18.442","0","0"
"Sitzbank","bench-3","","8.849534","49.384801","","","","","","","","","","156","400.79","203.617","0","01.04. 19:00","943.436","15.05. 15:00","https://kfg-gis-2026.github.io/web-map/?lng=8.849534&lat=49.384801&z=16.50&ansicht=komplex&lang=de&poi=bench-3&skipIntro=1","66.747","80.585","174.122","92.73","93.902","92.73","890.958","890.717","778.732","539.95","160.929","0","0","73.304","85.158","185.736","94.981","643.062","94.981","913.223","924.663","833.006","629.046","310.402","0","0","78.598","88.533","195.328","432.396","647.812","817.516","921.008","941.513","866.979","692.001","40.689","13.33","0","81.586","90.236","200.822","434.049","645.881","813.623","917.988","943.436","879.337","722.143","47.42","22.355","0","83.592","91.224","204.502","433.141","640.74","805.743","909.872","938.582","882.297","738.654","52.503","29.377","0","84.193","91.437","205.551","431.874","637.345","800.875","904.596","934.357","880.977","742.484","54.317","31.972","6.925","83.901","91.186","204.901","431.042","636.351","799.719","903.259","932.795","879.108","740.173","53.914","31.503","0","82.795","90.538","202.732","430.787","637.865","802.361","905.951","934.021","876.896","732.056","51.414","28.122","0","80.204","89.034","197.778","429.667","640.302","806.925","910.182","934.431","868.86","709.611","45.588","20.281","0","76.782","86.933","191.379","426.263","639.723","807.639","909.449","928.255","851.758","674.049","38.372","10.767","0","70.662","82.874","180.25","93.164","94.107","93.164","895.989","904.428","808.979","599.249","271.571","0","0","63.761","77.944","168.071","90.567","91.807","90.567","869.35","865.419","748.836","502.688","120.81","0","0"
"Sitzbank","bench-4","","8.849263","49.384974","","","","","","","","","","156","405.787","252.185","0","01.04. 19:00","943.451","01.04. 12:00","https://kfg-gis-2026.github.io/web-map/?lng=8.849263&lat=49.384974&z=16.50&ansicht=komplex&lang=de&poi=bench-4&skipIntro=1","63.616","76.805","730.915","872.976","943.451","934.596","845.797","684.223","467.387","229.209","37.877","0","0","69.865","81.163","718.493","856.552","925.729","918.717","835.084","681.901","475.994","248.832","58.884","0","0","74.911","84.379","89.461","825.946","893.138","887.669","809.251","664.728","469.975","253.687","65.466","12.705","0","77.759","86.002","90.245","796.529","861.903","857.364","782.702","644.547","458","249.726","63.831","21.306","0","79.67","86.945","90.542","767.11","830.68","826.828","755.401","622.814","443.475","242.338","59.293","27.999","0","80.243","87.147","90.503","753.816","816.557","812.956","742.883","612.653","436.383","238.334","51.769","30.473","6.601","79.965","86.909","90.292","754.061","816.78","813.15","743.038","612.762","436.446","238.4","51.384","30.026","0","78.911","86.291","89.964","767.37","830.855","826.923","755.413","622.737","443.328","242.257","59.817","26.802","0","76.441","84.857","89.229","795.427","860.571","855.89","781.162","642.998","456.521","248.565","63.918","19.33","0","73.179","82.855","690.018","822.388","889.17","883.51","805.1","660.75","466.325","250.684","64.317","10.262","0","67.347","78.986","713.107","850.405","919.029","911.655","827.814","674.519","468.573","241.705","54.262","0","0","60.769","74.288","721.24","862.161","931.851","922.561","833.628","672.113","455.399","217.488","13.876","0","0"
"Sitzbank","bench-5","","8.808068","49.400957","","","","","","","","","","156","203.298","80.643","0","01.04. 19:00","822.798","15.06. 08:00","https://kfg-gis-2026.github.io/web-map/?lng=8.808068&lat=49.400957&z=16.50&ansicht=komplex&lang=de&poi=bench-5&skipIntro=1","646.638","627.651","508.68","81.435","82.466","81.435","77.913","70.768","58.615","40.411","16.026","0","0","715.223","678.695","551.18","83.415","84.188","83.415","80.662","74.787","64.376","48.325","26.397","0","0","769.462","719.498","586.899","84.486","85.027","84.486","82.436","77.753","69.029","55.131","35.744","11.724","0","798.929","741.784","607.611","84.765","85.162","84.765","83.16","79.25","71.654","59.243","41.656","19.651","0","817.606","755.856","621.649","84.706","84.996","84.706","83.434","80.119","73.417","62.212","46.121","25.819","0","822.798","759.624","625.821","84.548","238.118","84.548","83.399","80.306","73.945","63.212","47.715","28.099","6.111","820.065","757.25","623.698","84.369","236.376","84.369","83.205","80.086","73.689","62.91","47.361","27.687","0","810.04","749.312","615.852","84.216","84.52","84.216","82.902","79.517","72.717","61.393","45.165","24.716","0","785.463","730.245","597.588","83.903","84.325","83.903","82.224","78.194","70.44","57.84","40.047","17.83","0","751.408","704.182","573.863","83.326","83.9","83.326","81.18","76.347","67.433","53.319","33.708","9.472","0","688.394","656.627","532.821","81.819","82.648","81.819","78.905","72.78","62.055","45.652","23.366","0","0","615.985","602.85","488.568","79.535","80.624","79.535","75.845","68.447","55.991","37.47","12.789","0","0"
"Sitzbank","bench-6","","8.798626","49.398901","","","","","","","","","","156","316.602","352.901","0","01.04. 19:00","681.449","15.06. 14:00","https://kfg-gis-2026.github.io/web-map/?lng=8.798626&lat=49.398901&z=16.50&ansicht=komplex&lang=de&poi=bench-6&skipIntro=1","93.032","139.991","219.634","294.426","355.735","396.184","409.269","389.155","330.503","64.139","25.434","0","0","102.175","215.992","299.416","375.858","437.812","478.556","491.953","472.354","414.52","76.699","41.895","0","0","109.559","294.555","379.5","456.046","517.604","558.044","571.628","552.996","497.194","87.501","56.729","18.604","0","262.477","350.067","434.888","510.66","571.346","611.208","624.803","607.023","553.197","94.027","66.113","31.186","0","307.912","395.612","479.615","554.216","613.795","652.93","666.435","649.441","597.547","98.739","73.199","40.975","0","117.361","412.845","496.294","570.252","629.258","668.017","681.449","664.789","613.753","100.326","75.729","44.593","9.693","116.954","409.224","492.562","566.443","625.398","664.122","677.534","660.862","609.817","99.847","75.166","43.939","0","298.876","386.082","469.744","544.107","603.52","642.546","655.99","638.972","587.073","97.439","71.681","39.225","0","248.391","334.948","419.038","494.285","554.598","594.215","607.684","589.891","536.145","91.8","63.558","28.295","0","107.026","276.766","360.556","436.259","497.213","537.26","550.658","532.055","476.494","84.625","53.498","15.031","0","98.491","192.411","273.9","348.994","410.017","450.171","463.307","443.792","386.412","72.457","37.084","0","0","88.867","117.945","194.954","267.915","327.967","367.647","380.448","360.594","302.839","59.471","20.297","0","0"
"Sitzbank","bench-7","","8.797636","49.396882","","","","","","","","","","156","557.508","631.259","0","01.04. 19:00","998.441","15.06. 12:00","https://kfg-gis-2026.github.io/web-map/?lng=8.797636&lat=49.396882&z=16.50&ansicht=komplex&lang=de&poi=bench-7&skipIntro=1","97.027","526.156","703.581","830.451","893.049","884.605","804.495","658.734","461.89","241.363","26.526","0","0","372.024","576.81","752.046","876.953","938.903","931.609","854.51","713.227","521.181","302.856","43.693","0","0","418.155","619.742","790.67","912.212","972.762","966.498","892.921","757.273","571.865","358.557","153.52","19.399","0","447.319","644.914","811.584","929.938","989.061","983.453","912.66","781.659","602.012","393.862","189.306","32.521","0","469.085","662.234","824.546","939.697","997.339","992.237","923.977","797.319","623.207","420.42","218.067","42.73","0","476.564","667.547","827.826","941.497","998.441","993.533","926.371","801.63","630.004","429.739","228.826","46.503","10.103","474.292","665.153","825.361","938.988","995.903","990.977","923.809","799.072","627.476","427.302","226.641","45.821","0","462.957","655.698","817.759","932.747","990.29","985.141","916.884","790.283","616.313","413.851","212.279","40.905","0","437.016","633.627","799.641","917.56","976.434","970.747","900.041","769.3","590.129","382.826","179.983","29.506","0","405.157","605.083","774.857","895.626","955.746","949.381","876.029","740.934","556.456","344.639","142.372","15.673","0","102.72","556.013","729.596","853.421","914.754","907.268","830.393","689.776","498.952","282.806","38.675","0","0","92.684","503.407","678.475","803.79","865.522","856.864","777.183","632.514","437.537","220.124","21.168","0","0"
"Sitzbank","bench-8","","8.802379","49.398209","","","","","","","","","","156","451.196","530.851","0","01.04. 19:00","905.022","15.06. 12:00","https://kfg-gis-2026.github.io/web-map/?lng=8.802379&lat=49.398209&z=16.50&ansicht=komplex&lang=de&poi=bench-8&skipIntro=1","102.276","123.48","135.947","681.171","707.796","681.171","603.435","481.445","328.185","70.512","27.961","0","0","112.328","130.493","140.743","749.347","775.54","749.347","672.707","551.783","398.039","230.313","46.058","0","0","465.158","135.667","734.9","809.502","834.957","809.502","734.9","616.722","465.158","296.424","62.365","20.451","0","509.749","658.336","773.653","846.292","871.056","846.292","773.653","658.336","509.749","342.572","72.681","34.283","0","544.5","689.716","802.058","872.72","896.796","872.72","802.058","689.716","544.5","379.956","80.471","45.045","0","556.997","700.565","811.512","881.261","905.022","881.261","811.512","700.565","556.997","393.924","83.253","49.022","10.654","553.764","697.244","808.14","877.863","901.615","877.863","808.14","697.244","553.764","390.851","82.634","48.303","0","535.864","680.78","792.943","863.506","887.551","863.506","792.943","680.78","535.864","371.83","78.802","43.121","0","495.55","643.399","758.248","830.622","855.3","830.622","758.248","643.399","495.55","329.544","69.873","31.105","0","447.715","133.215","715.359","789.485","814.785","789.485","715.359","598.009","447.715","280.925","58.813","16.523","0","108.277","126.992","137.678","721.486","747.46","721.486","645.528","525.838","374.093","79.656","40.768","0","0","97.697","119.432","132.34","138.778","677.706","651.405","574.673","454.477","304.087","65.38","22.313","0","0"
"Sitzbank","bench-9","","8.810920","49.389249","","","","","","","","","","156","217.548","126.789","0","01.04. 19:00","518.374","15.06. 14:00","https://kfg-gis-2026.github.io/web-map/?lng=8.810920&lat=49.389249&z=16.50&ansicht=komplex&lang=de&poi=bench-9&skipIntro=1","87.972","106.21","116.932","122.217","123.763","122.217","223.358","106.21","186.094","135.194","47.912","0","0","96.615","112.238","121.054","125.185","126.345","125.185","308.337","112.238","265.915","210.004","116.8","0","0","103.594","116.687","123.714","126.789","127.601","126.789","393.707","380.738","348.824","291.311","197.264","17.576","0","107.532","118.932","390.837","127.207","127.803","127.207","452.796","439.49","407.389","350.21","258.278","111.527","0","110.176","404.317","439.608","127.117","488.089","127.117","500.548","487.16","455.317","399.136","310.072","174.629","0","110.968","422.785","457.981","485.834","506.149","517.714","518.374","505.006","473.377","417.782","330.125","197.792","9.139","110.584","418.952","454.08","481.891","502.183","513.742","514.414","501.074","469.486","413.931","326.265","193.76","0","109.126","119.331","429.323","126.382","477.605","126.382","490.077","476.773","445.061","389.027","299.997","164.265","0","105.71","117.348","374.446","125.914","126.547","125.914","435.994","422.867","391.073","334.303","242.695","96.169","0","101.199","114.578","121.83","125.049","125.911","125.049","373.64","360.963","329.583","272.86","179.712","14.198","0","93.131","109.228","118.418","122.791","124.034","122.791","281.3","109.228","240.543","186.358","95.902","0","0","84.034","102.728","113.83","119.367","121.001","119.367","113.83","102.728","162.524","114.533","34.507","0","0"
"Sitzbank","bench-10","","8.832471","49.397697","","","","","","","","","","156","323.665","91.758","0","01.04. 19:00","952.534","15.05. 15:00","https://kfg-gis-2026.github.io/web-map/?lng=8.832471&lat=49.397697&z=16.50&ansicht=komplex&lang=de&poi=bench-10&skipIntro=1","69.805","84.277","92.786","409.113","623.337","789.062","882.394","882.668","69.805","48.125","19.084","0","0","76.665","89.063","96.059","428.47","643.626","811.845","911.029","922.545","76.665","57.549","31.435","0","0","82.205","92.595","98.171","442.46","655.323","823.158","925.599","945.861","82.205","65.654","42.564","13.958","0","85.331","94.377","99.034","449.002","658.363","824.249","927.495","952.534","85.331","70.551","49.605","23.398","0","87.43","95.412","99.36","452.15","657.355","820.528","923.5","951.692","87.43","74.086","54.922","30.743","0","88.059","95.635","99.318","452.442","655.554","817.268","919.823","949.031","88.059","75.277","56.821","33.458","7.27","87.754","95.373","99.087","451.323","654.273","815.827","918.206","947.195","87.754","74.918","56.398","32.967","0","86.597","94.695","98.726","449.042","653.729","816.401","918.846","946.417","86.597","73.11","53.783","29.43","0","83.885","93.12","214.379","443.44","651.611","816.392","918.553","942.428","83.885","68.88","47.689","21.229","0","80.304","90.921","96.676","434.961","645.88","811.948","912.742","931.359","80.304","63.497","40.14","11.277","0","73.901","86.674","93.967","417.862","630.088","795.581","892.082","900.7","73.901","54.366","27.825","0","0","66.68","81.514","90.324","396.958","607.242","769.364","859.267","855.988","66.68","44.623","15.229","0","0"
"Sitzbank","bench-11","","8.832049","49.397705","","","","","","","","","","156","354.34","287.008","0","01.04. 19:00","871.1","15.06. 16:00","https://kfg-gis-2026.github.io/web-map/?lng=8.832049&lat=49.397705&z=16.50&ansicht=komplex&lang=de&poi=bench-11&skipIntro=1","60.76","73.357","80.763","84.414","246.015","459.88","629.455","724.124","710.893","549.861","16.611","0","0","66.731","77.522","83.612","86.466","277.007","493.019","667.235","771.716","777.69","653.992","27.361","0","0","71.553","80.596","85.45","87.575","305.691","520.38","695.866","806.722","827.781","734.319","500.605","12.149","0","74.274","82.148","86.201","87.864","324.175","535.901","710.316","823.691","853.129","777.488","578.028","20.366","0","76.101","83.049","86.485","117.444","338.197","546.125","718.377","832.611","867.703","805.057","630.341","26.759","0","76.648","83.242","86.448","124.451","343.047","548.997","719.954","834.136","871.1","813.173","647.477","368.952","6.328","76.383","83.014","86.247","123.081","341.489","547.254","718.006","831.93","868.529","810.036","643.391","363.264","0","75.376","82.424","85.933","87.295","334.016","541.357","712.977","826.454","860.518","796.306","618.952","25.616","0","73.015","81.053","85.23","86.971","317.219","527.627","700.688","812.548","840.075","761.629","557.346","18.478","0","69.899","79.139","84.149","86.373","297.009","509.575","682.94","791.545","809.919","712.608","472.077","9.815","0","64.325","75.442","81.791","84.812","265.101","477.871","648.755","749.511","750.713","619.57","24.219","0","0","58.04","70.952","78.62","82.445","233.636","443.19","608.431","698.414","679.323","508.925","13.256","0","0"
"Sitzbank","bench-12","","8.840095","49.384848","","","","","","","","","","156","503.27","577.358","0","01.04. 19:00","906.921","15.06. 12:00","https://kfg-gis-2026.github.io/web-map/?lng=8.840095&lat=49.384848&z=16.50&ansicht=komplex&lang=de&poi=bench-12&skipIntro=1","288.493","444.718","576.361","667.96","710.424","699.47","635.095","521.92","370.472","199.963","27.908","0","0","355.862","513.864","645.06","735.841","778.007","767.636","704.681","593.274","442.751","269.601","45.969","0","0","421.592","578.355","707.15","795.912","837.223","827.486","766.633","658.392","511.098","339.112","165.269","20.391","0","465.824","620.086","746.106","832.771","873.16","863.893","804.898","699.653","555.883","386.681","212.159","34.197","0","500.668","651.843","774.862","859.343","898.756","889.896","832.692","730.435","590.378","424.67","251.528","44.939","0","513.329","662.939","784.52","867.972","906.921","898.23","841.833","740.943","602.638","438.703","266.67","111.529","10.594","510.174","659.669","781.181","864.592","903.519","894.823","838.437","737.579","599.335","435.516","263.716","48.192","0","492.261","643.062","765.846","850.183","889.523","880.651","823.499","721.363","581.528","416.21","243.796","43.019","0","452.091","605.471","730.91","817.211","857.419","848.143","789.311","684.417","541.234","372.983","200.101","31.026","0","404.851","560.136","687.931","776.06","817.062","807.326","746.789","639.199","492.959","322.605","151.503","16.471","0","333.056","488.691","618.374","708.226","749.94","739.553","677.028","566.563","417.657","247.225","40.69","0","0","265.854","418.744","548.232","638.503","680.331","669.388","605.687","493.933","344.873","178.337","22.271","0","0"
"Sitzbank","bench-13","","8.840719","49.387776","","","","","","","","","","156","482.811","584.5","0","01.04. 19:00","916.026","15.06. 11:00","https://kfg-gis-2026.github.io/web-map/?lng=8.840719&lat=49.387776&z=16.50&ansicht=komplex&lang=de&poi=bench-13&skipIntro=1","101.626","562.435","669.887","723.862","721.522","664.695","559.602","417.471","256.277","104.735","27.778","0","0","111.61","633.532","738.487","790.688","787.611","730.987","626.538","484.421","320.462","158.629","45.755","0","0","551.835","697.466","798.78","848.752","845.107","789.466","687.088","547.18","383.764","217.188","61.955","20.301","0","595.849","737.388","835.508","883.665","879.726","825.227","725.115","587.985","426.742","259.644","72.204","34.043","0","629.298","766.746","861.799","908.281","904.167","850.913","753.212","619.175","460.845","294.945","143.853","44.734","0","641.022","776.596","870.275","916.026","911.864","859.211","762.659","630.126","473.324","308.402","156.702","48.686","10.553","637.711","773.249","866.914","912.667","908.522","855.902","759.404","626.956","470.291","305.606","154.345","47.972","0","620.4","757.696","852.678","899.151","895.086","841.942","744.424","610.669","452.779","287.606","137.824","42.823","0","581.014","722.097","819.968","868.051","864.205","809.971","710.31","573.86","413.627","248.103","69.414","30.886","0","533.309","678.075","778.889","828.685","825.174","769.978","668.372","529.616","367.864","203.807","58.426","16.399","0","107.586","606.422","710.694","762.686","759.831","703.865","600.559","460.199","298.923","141.498","40.501","0","0","97.078","533.756","640.117","693.707","691.63","635.715","532.232","392.571","235.11","64.965","22.168","0","0"
"Sitzbank","bench-14","","8.801531","49.402032","","","","","","","","","","156","253.21","100.127","0","01.04. 19:00","811.937","15.06. 16:00","https://kfg-gis-2026.github.io/web-map/?lng=8.801531&lat=49.402032&z=16.50&ansicht=komplex&lang=de&poi=bench-14&skipIntro=1","72.526","87.563","96.404","100.763","181.523","100.763","488.853","571.662","570.466","50.002","19.829","0","0","79.655","92.537","99.806","103.213","241.83","412.069","553.158","641.833","652.857","59.794","32.663","0","0","85.412","96.207","102.001","125.627","301.845","470.803","612.086","704.362","725.201","68.217","44.228","14.508","0","88.661","98.059","102.898","169.381","343.136","509.631","649.602","743.057","769.409","73.304","51.544","24.317","0","90.842","99.135","103.237","205.759","376.374","539.79","677.714","771.268","801.343","76.978","57.069","31.948","0","91.495","99.366","103.193","219.746","388.731","550.56","687.338","780.64","811.937","78.216","59.041","34.769","7.563","91.178","99.094","102.953","217.082","385.916","547.604","684.234","777.357","808.399","77.842","58.602","34.259","0","89.976","98.39","102.579","198.786","368.923","531.891","669.356","762.379","791.734","75.964","55.885","30.584","0","87.158","96.753","101.739","158.466","331.147","496.631","635.603","727.983","753.006","71.568","49.552","22.063","0","83.437","94.468","100.448","112.984","287.467","454.791","594.498","685.17","704.164","65.975","41.709","11.722","0","76.783","90.054","97.632","101.238","222.385","390.146","528.805","614.904","622.76","56.487","28.912","0","0","69.279","84.692","93.846","98.412","162.522","98.412","463.401","543.007","538.05","46.363","15.824","0","0"
"Sitzbank","bench-15","","8.765919","49.376555","","","","","","","","","","156","340.184","238.081","0","01.04. 19:00","858.749","15.06. 15:00","https://kfg-gis-2026.github.io/web-map/?lng=8.765919&lat=49.376555&z=16.50&ansicht=komplex&lang=de&poi=bench-15&skipIntro=1","83.413","100.705","110.869","218.093","378.576","515.185","608.344","638.966","587.604","57.505","22.795","0","0","91.604","106.417","115.234","281.669","443.452","581.416","677.354","713.676","673.158","538.031","37.546","0","0","98.218","110.632","178.325","344.578","505.087","642.212","739.099","779.625","748.563","78.438","50.839","16.645","0","101.95","112.759","223.225","387.625","545.745","680.987","777.45","820.032","794.815","689.664","59.249","27.922","0","104.455","108.257","260.346","422.104","577.262","710.087","805.478","849.19","828.347","88.507","65.6","36.696","0","105.206","123.358","274.522","434.85","588.489","720.054","814.773","858.749","839.514","89.929","67.867","39.939","8.633","104.841","120.748","271.699","431.866","585.373","716.819","811.418","855.252","835.823","89.5","67.363","39.353","0","103.46","113.136","252.938","414.193","568.932","701.38","796.404","839.706","818.329","87.341","64.239","35.127","0","100.223","111.257","211.558","374.849","532.02","666.418","762.097","803.889","777.741","671.23","56.96","25.331","0","95.947","108.633","164.713","329.191","488.161","623.927","719.599","758.986","726.702","75.86","47.944","13.442","0","88.302","103.564","97.174","260.831","420.267","556.162","650.2","684.644","641.944","503.458","33.234","0","0","79.681","97.405","107.929","197.616","354.95","488.817","579.544","607.902","554.066","53.322","18.191","0","0"
